['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],pam_unix(cron:session):
['gkr-pam:', 'unlocked', 'login', 'keyring', 'pam_unix(cron:session):'],session
['unlocked', 'login', 'keyring', 'pam_unix(cron:session):', 'session'],opened
['login', 'keyring', 'pam_unix(cron:session):', 'session', 'opened'],for
['keyring', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],gkr-pam:
['gkr-pam:', 'unlocked', 'login', 'keyring', 'gkr-pam:'],unlocked
['unlocked', 'login', 'keyring', 'gkr-pam:', 'unlocked'],login
['login', 'keyring', 'gkr-pam:', 'unlocked', 'login'],keyring
['keyring', 'gkr-pam:', 'unlocked', 'login', 'keyring'],System
['gkr-pam:', 'unlocked', 'login', 'keyring', 'System'],is
['unlocked', 'login', 'keyring', 'System', 'is'],powering
['login', 'keyring', 'System', 'is', 'powering'],down.
['keyring', 'System', 'is', 'powering', 'down.'],New
['System', 'is', 'powering', 'down.', 'New'],seat
['is', 'powering', 'down.', 'New', 'seat'],seat0.
['powering', 'down.', 'New', 'seat', 'seat0.'],Watching
['down.', 'New', 'seat', 'seat0.', 'Watching'],system
['New', 'seat', 'seat0.', 'Watching', 'system'],buttons
['seat', 'seat0.', 'Watching', 'system', 'buttons'],on
['seat0.', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],/dev/input/event7
['Watching', 'system', 'buttons', 'on', '/dev/input/event7'],(Logitech
['system', 'buttons', 'on', '/dev/input/event7', '(Logitech'],USB
['buttons', 'on', '/dev/input/event7', '(Logitech', 'USB'],Receiver)
['on', '/dev/input/event7', '(Logitech', 'USB', 'Receiver)'],Watching
['/dev/input/event7', '(Logitech', 'USB', 'Receiver)', 'Watching'],system
['(Logitech', 'USB', 'Receiver)', 'Watching', 'system'],buttons
['USB', 'Receiver)', 'Watching', 'system', 'buttons'],on
['Receiver)', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],Watching
['', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],Watching
['', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],pam_unix(gdm-launch-environment:session):
['', '', '', '', 'pam_unix(gdm-launch-environment:session):'],session
['', '', '', 'pam_unix(gdm-launch-environment:session):', 'session'],opened
['', '', 'pam_unix(gdm-launch-environment:session):', 'session', 'opened'],for
['', 'pam_unix(gdm-launch-environment:session):', 'session', 'opened', 'for'],user
['pam_unix(gdm-launch-environment:session):', 'session', 'opened', 'for', 'user'],gdm
['session', 'opened', 'for', 'user', 'gdm'],by
['opened', 'for', 'user', 'gdm', 'by'],(uid=0)
['for', 'user', 'gdm', 'by', '(uid=0)'],New
['user', 'gdm', 'by', '(uid=0)', 'New'],session
['gdm', 'by', '(uid=0)', 'New', 'session'],
['by', '(uid=0)', 'New', 'session', ''],of
['(uid=0)', 'New', 'session', '', 'of'],user
['New', 'session', '', 'of', 'user'],
['session', '', 'of', 'user', ''],pam_unix(systemd-user:session):
['', 'of', 'user', '', 'pam_unix(systemd-user:session):'],session
['of', 'user', '', 'pam_unix(systemd-user:session):', 'session'],opened
['user', '', 'pam_unix(systemd-user:session):', 'session', 'opened'],for
['', 'pam_unix(systemd-user:session):', 'session', 'opened', 'for'],user
['pam_unix(systemd-user:session):', 'session', 'opened', 'for', 'user'],
['session', 'opened', 'for', 'user', ''],by
['opened', 'for', 'user', '', 'by'],(uid=0)
['for', 'user', '', 'by', '(uid=0)'],Registered
['user', '', 'by', '(uid=0)', 'Registered'],Authentication
['', 'by', '(uid=0)', 'Registered', 'Authentication'],Agent
['by', '(uid=0)', 'Registered', 'Authentication', 'Agent'],for
['(uid=0)', 'Registered', 'Authentication', 'Agent', 'for'],
['Registered', 'Authentication', 'Agent', 'for', ''],(system
['Authentication', 'Agent', 'for', '', '(system'],bus
['Agent', 'for', '', '(system', 'bus'],name
['for', '', '(system', 'bus', 'name'],
['', '(system', 'bus', 'name', ''],[/usr/bin/gnome-shell],
['(system', 'bus', 'name', '', '[/usr/bin/gnome-shell],'],object
['bus', 'name', '', '[/usr/bin/gnome-shell],', 'object'],path
['name', '', '[/usr/bin/gnome-shell],', 'object', 'path'],/org/freedesktop/PolicyKit1/AuthenticationAgent,
['', '[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,'],locale
['[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale'],en_GB.UTF-8)
['object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)'],pam_unix(gdm-password:session):
['path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):'],session
['/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session'],opened
['locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session', 'opened'],for
['en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session', 'opened', 'for'],user
['pam_unix(gdm-password:session):', 'session', 'opened', 'for', 'user'],intern
['session', 'opened', 'for', 'user', 'intern'],by
['opened', 'for', 'user', 'intern', 'by'],(uid=0)
['for', 'user', 'intern', 'by', '(uid=0)'],New
['user', 'intern', 'by', '(uid=0)', 'New'],session
['intern', 'by', '(uid=0)', 'New', 'session'],
['by', '(uid=0)', 'New', 'session', ''],of
['(uid=0)', 'New', 'session', '', 'of'],user
['New', 'session', '', 'of', 'user'],
['session', '', 'of', 'user', ''],pam_unix(systemd-user:session):
['', 'of', 'user', '', 'pam_unix(systemd-user:session):'],session
['of', 'user', '', 'pam_unix(systemd-user:session):', 'session'],opened
['user', '', 'pam_unix(systemd-user:session):', 'session', 'opened'],for
['', 'pam_unix(systemd-user:session):', 'session', 'opened', 'for'],user
['pam_unix(systemd-user:session):', 'session', 'opened', 'for', 'user'],
['session', 'opened', 'for', 'user', ''],by
['opened', 'for', 'user', '', 'by'],(uid=0)
['for', 'user', '', 'by', '(uid=0)'],Registered
['user', '', 'by', '(uid=0)', 'Registered'],Authentication
['', 'by', '(uid=0)', 'Registered', 'Authentication'],Agent
['by', '(uid=0)', 'Registered', 'Authentication', 'Agent'],for
['(uid=0)', 'Registered', 'Authentication', 'Agent', 'for'],
['Registered', 'Authentication', 'Agent', 'for', ''],(system
['Authentication', 'Agent', 'for', '', '(system'],bus
['Agent', 'for', '', '(system', 'bus'],name
['for', '', '(system', 'bus', 'name'],
['', '(system', 'bus', 'name', ''],[/usr/bin/gnome-shell],
['(system', 'bus', 'name', '', '[/usr/bin/gnome-shell],'],object
['bus', 'name', '', '[/usr/bin/gnome-shell],', 'object'],path
['name', '', '[/usr/bin/gnome-shell],', 'object', 'path'],/org/freedesktop/PolicyKit1/AuthenticationAgent,
['', '[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,'],locale
['[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale'],en_GB.UTF-8)
['object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)'],[system]
['path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', '[system]'],Failed
['/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', '[system]', 'Failed'],to
['locale', 'en_GB.UTF-8)', '[system]', 'Failed', 'to'],activate
['en_GB.UTF-8)', '[system]', 'Failed', 'to', 'activate'],service
['[system]', 'Failed', 'to', 'activate', 'service'],'org.bluez':
['Failed', 'to', 'activate', 'service', "'org.bluez':"],timed
['to', 'activate', 'service', "'org.bluez':", 'timed'],out
['activate', 'service', "'org.bluez':", 'timed', 'out'],(service_start_timeout=25000ms)
['service', "'org.bluez':", 'timed', 'out', '(service_start_timeout=25000ms)'],pam_unix(cron:session):
["'org.bluez':", 'timed', 'out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):'],session
['timed', 'out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session'],opened
['out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session', 'opened'],for
['(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(polkit-1:session):
['closed', 'for', 'user', 'root', 'pam_unix(polkit-1:session):'],session
['for', 'user', 'root', 'pam_unix(polkit-1:session):', 'session'],opened
['user', 'root', 'pam_unix(polkit-1:session):', 'session', 'opened'],for
['root', 'pam_unix(polkit-1:session):', 'session', 'opened', 'for'],user
['pam_unix(polkit-1:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=1000)
['for', 'user', 'root', 'by', '(uid=1000)'],intern:
['user', 'root', 'by', '(uid=1000)', 'intern:'],xecuting
['root', 'by', '(uid=1000)', 'intern:', 'xecuting'],command
['by', '(uid=1000)', 'intern:', 'xecuting', 'command'],[USR=root]
['(uid=1000)', 'intern:', 'xecuting', 'command', '[USR=root]'],[TTY=unknown]
['intern:', 'xecuting', 'command', '[USR=root]', '[TTY=unknown]'],[CWD=/home/intern]
['xecuting', 'command', '[USR=root]', '[TTY=unknown]', '[CWD=/home/intern]'],[COMMAND=/usr/lib/update-notifier/package-system-locked]
['command', '[USR=root]', '[TTY=unknown]', '[CWD=/home/intern]', '[COMMAND=/usr/lib/update-notifier/package-system-locked]'],asked
['[USR=root]', '[TTY=unknown]', '[CWD=/home/intern]', '[COMMAND=/usr/lib/update-notifier/package-system-locked]', 'asked'],to
['[TTY=unknown]', '[CWD=/home/intern]', '[COMMAND=/usr/lib/update-notifier/package-system-locked]', 'asked', 'to'],register
['[CWD=/home/intern]', '[COMMAND=/usr/lib/update-notifier/package-system-locked]', 'asked', 'to', 'register'],item
['[COMMAND=/usr/lib/update-notifier/package-system-locked]', 'asked', 'to', 'register', 'item'],/org/freedesktop/secrets/collection/login/1,
['asked', 'to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,'],but
['to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but'],it's
['register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's"],already
['item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already'],registered
['/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already', 'registered'],asked
['but', "it's", 'already', 'registered', 'asked'],to
["it's", 'already', 'registered', 'asked', 'to'],register
['already', 'registered', 'asked', 'to', 'register'],item
['registered', 'asked', 'to', 'register', 'item'],/org/freedesktop/secrets/collection/login/1,
['asked', 'to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,'],but
['to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but'],it's
['register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's"],already
['item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already'],registered
['/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already', 'registered'],asked
['but', "it's", 'already', 'registered', 'asked'],to
["it's", 'already', 'registered', 'asked', 'to'],register
['already', 'registered', 'asked', 'to', 'register'],item
['registered', 'asked', 'to', 'register', 'item'],/org/freedesktop/secrets/collection/login/1,
['asked', 'to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,'],but
['to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but'],it's
['register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's"],already
['item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already'],registered
['/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already', 'registered'],asked
['but', "it's", 'already', 'registered', 'asked'],to
["it's", 'already', 'registered', 'asked', 'to'],register
['already', 'registered', 'asked', 'to', 'register'],item
['registered', 'asked', 'to', 'register', 'item'],/org/freedesktop/secrets/collection/login/1,
['asked', 'to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,'],but
['to', 'register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but'],it's
['register', 'item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's"],already
['item', '/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already'],registered
['/org/freedesktop/secrets/collection/login/1,', 'but', "it's", 'already', 'registered'],[system]
['but', "it's", 'already', 'registered', '[system]'],Failed
["it's", 'already', 'registered', '[system]', 'Failed'],to
['already', 'registered', '[system]', 'Failed', 'to'],activate
['registered', '[system]', 'Failed', 'to', 'activate'],service
['[system]', 'Failed', 'to', 'activate', 'service'],'org.bluez':
['Failed', 'to', 'activate', 'service', "'org.bluez':"],timed
['to', 'activate', 'service', "'org.bluez':", 'timed'],out
['activate', 'service', "'org.bluez':", 'timed', 'out'],(service_start_timeout=25000ms)
['service', "'org.bluez':", 'timed', 'out', '(service_start_timeout=25000ms)'],pam_unix(cron:session):
["'org.bluez':", 'timed', 'out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):'],session
['timed', 'out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session'],opened
['out', '(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session', 'opened'],for
['(service_start_timeout=25000ms)', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],pam_unix(cron:session):
['gkr-pam:', 'unlocked', 'login', 'keyring', 'pam_unix(cron:session):'],session
['unlocked', 'login', 'keyring', 'pam_unix(cron:session):', 'session'],opened
['login', 'keyring', 'pam_unix(cron:session):', 'session', 'opened'],for
['keyring', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],pam_unix(gdm-password:auth):
['gkr-pam:', 'unlocked', 'login', 'keyring', 'pam_unix(gdm-password:auth):'],authentication
['unlocked', 'login', 'keyring', 'pam_unix(gdm-password:auth):', 'authentication'],failure;
['login', 'keyring', 'pam_unix(gdm-password:auth):', 'authentication', 'failure;'],logname=
['keyring', 'pam_unix(gdm-password:auth):', 'authentication', 'failure;', 'logname='],uid=0
['pam_unix(gdm-password:auth):', 'authentication', 'failure;', 'logname=', 'uid=0'],euid=0
['authentication', 'failure;', 'logname=', 'uid=0', 'euid=0'],tty=/dev/tty2
['failure;', 'logname=', 'uid=0', 'euid=0', 'tty=/dev/tty2'],ruser=
['logname=', 'uid=0', 'euid=0', 'tty=/dev/tty2', 'ruser='],rhost=
['uid=0', 'euid=0', 'tty=/dev/tty2', 'ruser=', 'rhost='],user=intern
['euid=0', 'tty=/dev/tty2', 'ruser=', 'rhost=', 'user=intern'],pam_unix(gdm-password:auth):
['tty=/dev/tty2', 'ruser=', 'rhost=', 'user=intern', 'pam_unix(gdm-password:auth):'],authentication
['ruser=', 'rhost=', 'user=intern', 'pam_unix(gdm-password:auth):', 'authentication'],failure;
['rhost=', 'user=intern', 'pam_unix(gdm-password:auth):', 'authentication', 'failure;'],logname=
['user=intern', 'pam_unix(gdm-password:auth):', 'authentication', 'failure;', 'logname='],uid=0
['pam_unix(gdm-password:auth):', 'authentication', 'failure;', 'logname=', 'uid=0'],euid=0
['authentication', 'failure;', 'logname=', 'uid=0', 'euid=0'],tty=/dev/tty2
['failure;', 'logname=', 'uid=0', 'euid=0', 'tty=/dev/tty2'],ruser=
['logname=', 'uid=0', 'euid=0', 'tty=/dev/tty2', 'ruser='],rhost=
['uid=0', 'euid=0', 'tty=/dev/tty2', 'ruser=', 'rhost='],user=intern
